trade_id,direction,entry_time,exit_time,buy_price,sell_price,profit,pnl
203,LONG,24930,24940,131.204,128.931,-2.27269,48.139
204,LONG,25060,25070,126.679,129.256,2.57753,50.7165
205,LONG,25230,25240,113.176,111.978,-1.19795,49.5185
206,LONG,25490,25500,116.224,120.124,3.90068,53.4192
207,LONG,25580,25590,119.868,122.478,2.60991,56.0291
208,LONG,25660,25670,129.855,133.565,3.71046,59.7396
209,LONG,25680,25690,137.967,138.687,0.719965,60.4596
210,LONG,25730,25740,131.19,131.005,-0.185449,60.2741
211,LONG,25780,25790,136.882,134.044,-2.83745,57.4366
212,LONG,25960,25970,143.521,142.515,-1.00676,56.4299
213,LONG,26230,26240,159.144,159.682,0.537739,56.9676
214,LONG,26280,26290,162.298,166.812,4.51455,61.4822
215,LONG,26380,26390,165.733,164.052,-1.6806,59.8016
216,LONG,26410,26420,163.361,163.258,-0.103327,59.6983
217,LONG,26590,26600,166.565,172.834,6.26876,65.967
218,LONG,26780,26790,179.266,183.917,4.65098,70.618
219,LONG,26890,26900,177.847,182.068,4.22162,74.8396
220,LONG,26910,26920,183.731,183.721,-0.00996794,74.8296
221,LONG,26970,26980,168.344,169.568,1.22423,76.0539
222,LONG,27280,27290,191.051,188.152,-2.89962,73.1543
223,LONG,27340,27350,194.929,191.752,-3.1773,69.977
224,LONG,27530,27540,190.982,191.602,0.620238,70.5972
225,LONG,27620,27630,195.345,192.292,-3.05343,67.5438
226,LONG,27830,27840,193.053,194.613,1.55979,69.1035
227,LONG,28010,28020,201.366,205.428,4.06138,73.1649
228,LONG,28260,28270,209.765,207.645,-2.11992,71.045
229,LONG,28410,28420,195.729,194.774,-0.954977,70.09
230,LONG,28450,28460,189.244,185.913,-3.33087,66.7592
231,LONG,28500,28510,179.065,179.857,0.792499,67.5517
232,LONG,28790,28800,184.785,182.77,-2.01464,65.537
233,LONG,28960,28970,187.879,193.073,5.19403,70.7311
234,LONG,29050,29060,203.479,200.953,-2.52609,68.205
235,LONG,29130,29140,187.817,181.398,-6.41979,61.7852
236,LONG,29410,29420,172.99,176.863,3.87308,65.6583
237,LONG,29420,29430,176.831,180.887,4.05625,69.7145
238,LONG,29470,29480,175.004,176.394,1.39037,71.1049
239,LONG,29560,29570,166.962,172.795,5.83326,76.9381
240,LONG,29570,29580,172.761,173.639,0.877717,77.8158
241,LONG,29780,29790,209.045,210.047,1.00177,78.8176
242,LONG,30290,30300,217.343,222.423,5.07902,83.8966
243,LONG,30360,30370,229.775,233.771,3.996,87.8926
244,LONG,30400,30410,243.935,246.437,2.50207,90.3947
245,LONG,30450,30460,256.123,255.974,-0.149029,90.2457
246,LONG,30500,30510,274.361,275.307,0.945421,91.1911
247,LONG,30590,30600,284.922,283.533,-1.38977,89.8013
248,LONG,30730,30740,287.343,286.442,-0.900523,88.9008
249,LONG,30820,30830,282.449,283.125,0.675581,89.5764
250,LONG,30980,30990,282.976,281.05,-1.92633,87.6501
251,LONG,31280,31290,309.234,310.913,1.67926,89.3293
252,LONG,31300,31310,311.142,310.103,-1.03956,88.2898
253,LONG,31420,31430,307.976,315.673,7.69714,95.9869
254,LONG,31520,31530,307.982,309.168,1.18585,97.1728
255,LONG,31600,31610,327.043,328.154,1.11151,98.2843
256,LONG,31620,31630,330.352,334.217,3.86481,102.149
257,LONG,31800,31810,312.132,312.05,-0.0822346,102.067
258,LONG,32090,32100,306.757,308.958,2.20071,104.268
259,LONG,32220,32230,298.979,298.175,-0.80305,103.465
260,LONG,32360,32370,319.347,322.843,3.49617,106.961
261,LONG,32400,32410,326.594,329.981,3.38781,110.348
262,LONG,32410,32420,329.95,333.304,3.35364,113.702
263,LONG,32600,32610,315.662,312.379,-3.28285,110.419
264,LONG,32660,32670,321.846,331.668,9.82233,120.242
265,LONG,32720,32730,339.291,343.178,3.88784,124.129
266,LONG,32820,32830,342.465,341.417,-1.04806,123.081
267,LONG,33030,33040,380.084,388.476,8.39221,131.474
268,LONG,33180,33190,438.949,430.104,-8.84475,122.629
269,LONG,33320,33330,463.62,459.403,-4.21664,118.412
270,LONG,33360,33370,468.249,455.19,-13.0593,105.353
271,LONG,33430,33440,526.408,544.657,18.249,123.602
272,LONG,33480,33490,513.156,511.363,-1.79248,121.809
273,LONG,33570,33580,568.089,579.936,11.8468,133.656
274,LONG,33790,33800,574.072,585.972,11.9007,145.557
275,LONG,33830,33840,571.94,554.117,-17.8223,127.735
276,LONG,33930,33940,596.381,593.972,-2.40939,125.325
277,LONG,34080,34090,592.813,591.362,-1.45152,123.874
278,LONG,34170,34180,556.318,570.601,14.2826,138.156
279,LONG,34710,34720,495.2,490.372,-4.82808,133.328
280,LONG,34740,34750,489.922,484.3,-5.62201,127.706
281,LONG,34780,34790,485.095,469.409,-15.686,112.02
282,LONG,34790,34800,469.378,447.923,-21.4555,90.5646
283,LONG,35030,35040,430.309,437.117,6.80817,97.3728
284,LONG,35260,35270,435.24,440.487,5.24759,102.62
285,LONG,35500,35510,432.653,437.111,4.45773,107.078
286,LONG,35570,35580,436.071,431.651,-4.41932,102.659
287,LONG,35660,35670,441.329,432.681,-8.64773,94.0111
288,LONG,35740,35750,426.108,416.775,-9.33364,84.6774
289,LONG,35770,35780,415.814,436.68,20.866,105.543
290,LONG,36030,36040,415.395,422.22,6.8256,112.369
291,LONG,36050,36060,423.242,440.782,17.54,129.909
292,LONG,36140,36150,415.145,414.346,-0.798556,129.11
293,LONG,36370,36380,404.701,400.28,-4.4207,124.69
294,LONG,36550,36560,386.307,381.075,-5.23202,119.458
295,LONG,36610,36620,393.273,389.359,-3.91499,115.543
296,LONG,37000,37010,388.554,380.362,-8.19251,107.35
297,LONG,37160,37170,397.628,388.166,-9.46227,97.888
298,LONG,37390,37400,361.689,368.783,7.0938,104.982
299,LONG,37680,37690,380.625,379.09,-1.53422,103.448
300,LONG,37720,37730,381.543,385.032,3.4891,106.937
301,LONG,38150,38160,365.023,360.809,-4.21368,102.723
302,LONG,38170,38180,353.53,353.9,0.369533,103.093
303,LONG,38310,38320,322.348,317.532,-4.81646,98.2761
304,LONG,38470,38480,316.652,319.055,2.40265,100.679
305,LONG,38590,38600,317.983,315.591,-2.39271,98.286
306,LONG,38870,38880,353.922,353.408,-0.513874,97.7721
307,LONG,38940,38950,336.361,347.364,11.0032,108.775
308,LONG,39070,39080,337.471,343.584,6.11327,114.889
309,LONG,39280,39290,340.161,339.653,-0.507878,114.381
310,LONG,39370,39380,370.354,366.573,-3.78066,110.6
311,LONG,39400,39410,364.889,369.7,4.8114,115.411
312,LONG,39450,39460,366.457,362.636,-3.82118,111.59
313,LONG,39520,39530,360.519,372.954,12.4349,124.025
314,LONG,39540,39550,380.18,379.769,-0.410979,123.614
315,LONG,39630,39640,365.282,364.64,-0.641871,122.972
316,LONG,39730,39740,353.489,355.545,2.05589,125.028
317,LONG,39750,39760,340.605,341.68,1.07461,126.103
318,LONG,39790,39800,333.833,338.394,4.56113,130.664
319,LONG,39860,39870,349.405,361.034,11.629,142.293
320,LONG,40060,40070,418.326,425.514,7.18797,149.481
321,LONG,40140,40150,407.148,401.49,-5.65779,143.823
322,LONG,40300,40310,354.281,355.935,1.65378,145.477
323,LONG,40380,40390,367.438,360.518,-6.92026,138.557
324,LONG,40440,40450,351.391,356.471,5.0805,143.637
325,LONG,40740,40750,372.029,373.583,1.55448,145.192
326,LONG,40750,40760,373.549,368.781,-4.768,140.424
327,LONG,40760,40770,368.75,360.84,-7.91003,132.514
328,LONG,40800,40810,347.826,354.321,6.49479,139.008
329,LONG,40930,40940,372.249,374.793,2.54371,141.552
330,LONG,40970,40980,384.143,384.075,-0.0678152,141.484
331,LONG,41020,41030,383.112,379.711,-3.40102,138.083
332,LONG,41090,41100,391.727,387.821,-3.90607,134.177
333,LONG,41150,41160,391.626,395.235,3.60871,137.786
334,LONG,41180,41190,415.892,420.508,4.61599,142.402
335,LONG,41190,41200,420.477,419.267,-1.20992,141.192
336,LONG,41220,41230,417.283,429.22,11.937,153.129
337,LONG,41270,41280,410.379,404.034,-6.34488,146.784
338,LONG,41630,41640,420.74,428.014,7.27421,154.058
339,LONG,41750,41760,430.625,421.481,-9.14415,144.914
340,LONG,42240,42250,494.619,500.477,5.85773,150.772
341,LONG,42310,42320,507.629,520.743,13.1148,163.887
342,LONG,42320,42330,520.709,529.972,9.26308,173.15
343,LONG,42410,42420,519.481,525.309,5.82792,178.978
344,LONG,42580,42590,515.41,519.766,4.3561,183.334
345,LONG,42650,42660,533.215,520.714,-12.5016,170.832
346,LONG,43330,43340,547.504,544.458,-3.0467,167.785
347,LONG,43380,43390,552.676,543.399,-9.27678,158.509
348,LONG,43410,43420,533.6,531.954,-1.64553,156.863
349,LONG,43660,43670,561.656,584.184,22.5287,179.392
350,LONG,43840,43850,542.367,558.024,15.6565,195.048
351,LONG,43970,43980,572.412,578.763,6.35009,201.398
352,LONG,44040,44050,559.218,570.937,11.719,213.117
353,LONG,44070,44080,560.714,557.296,-3.41735,209.7
354,LONG,44170,44180,552.68,556.036,3.35584,213.056
355,LONG,44230,44240,565.829,554.983,-10.8459,202.21
356,LONG,44330,44340,620.487,635.723,15.2356,217.446
357,LONG,44350,44360,639.217,622.324,-16.8927,200.553
358,LONG,44440,44450,612.422,609.354,-3.06821,197.485
359,LONG,44520,44530,596.067,591.514,-4.55279,192.932
360,LONG,44650,44660,637.518,648.504,10.9865,203.918
361,LONG,44860,44870,598.764,579.033,-19.7311,184.187
362,LONG,44870,44880,578.999,600.527,21.5283,205.716
363,LONG,45050,45060,579.546,579.863,0.31714,206.033
364,LONG,45170,45180,529.865,519.103,-10.7621,195.271
365,LONG,45230,45240,490.176,487.602,-2.57405,192.697
366,LONG,45280,45290,470.559,474.467,3.908,196.605
367,LONG,45360,45370,503.503,509.704,6.20111,202.806
368,LONG,45560,45570,564.899,553.897,-11.0018,191.804
369,LONG,45670,45680,554.989,560.413,5.42398,197.228
370,LONG,45700,45710,568.003,591.583,23.5803,220.808
371,LONG,45860,45870,641.219,646.307,5.08836,225.897
372,LONG,45950,45960,643.958,631.689,-12.2697,213.627
373,LONG,45970,45980,618.067,592.623,-25.4442,188.183
374,LONG,46010,46020,610.228,608.126,-2.10196,186.081
375,LONG,46070,46080,599.484,595.009,-4.47407,181.607
376,LONG,46170,46180,586.336,586.204,-0.13199,181.475
377,LONG,46210,46220,610.8,630.276,19.4763,200.951
378,LONG,46470,46480,654.458,653.162,-1.29648,199.654
379,LONG,46540,46550,660.794,661.963,1.1693,200.824
380,LONG,46590,46600,664.348,685.141,20.7925,221.616
381,LONG,46650,46660,681.96,681.923,-0.0373867,221.579
382,LONG,46840,46850,730.807,712.335,-18.4717,203.107
383,LONG,46870,46880,684.986,712.098,27.1122,230.219
